sno,act,srcUpdateTime,total,latitude,longitude,available_return_bikes
500103003,1,2024-07-23 21:43:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:43:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:44:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:45:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:46:25,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:47:27,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:47:27,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:49:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:49:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:51:25,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:52:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:53:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:54:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:55:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:56:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:57:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:58:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 21:59:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:00:30,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:01:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:02:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:03:26,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:04:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:05:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:06:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:07:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:08:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:09:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:10:30,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:11:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:12:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:13:22,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:14:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:15:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:16:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:17:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:18:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:19:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:20:29,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:21:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:22:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:23:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:24:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:25:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:25:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:27:21,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:27:21,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:29:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:30:30,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:31:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:32:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:33:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:34:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:35:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:36:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:37:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:38:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:39:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:40:29,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:41:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:42:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:43:23,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:44:24,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:45:22,15,25.07717,121.50934,0
500103003,1,2024-07-23 22:46:23,15,25.07717,121.50934,0
