sno,act,srcUpdateTime,total,available_rent_bikes,latitude,longitude
500104036,1,2024-07-22 21:41:24,36,1,25.09164,121.51706
500104036,1,2024-07-22 21:41:24,36,1,25.09164,121.51706
500104036,1,2024-07-22 21:42:24,36,1,25.09164,121.51706
500104036,1,2024-07-22 21:43:24,36,1,25.09164,121.51706
500104036,1,2024-07-22 21:44:24,36,1,25.09164,121.51706
500104036,1,2024-07-22 21:45:24,36,3,25.09164,121.51706
500104036,1,2024-07-22 21:46:24,36,3,25.09164,121.51706
500104036,1,2024-07-22 21:47:24,36,3,25.09164,121.51706
500104036,1,2024-07-22 21:48:24,36,3,25.09164,121.51706
500104036,1,2024-07-22 21:49:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:50:31,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:51:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:52:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:53:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:54:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:55:23,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:56:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:57:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:58:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 21:59:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 22:00:31,36,4,25.09164,121.51706
500104036,1,2024-07-22 22:01:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 22:02:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 22:03:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 22:04:24,36,4,25.09164,121.51706
500104036,1,2024-07-22 22:05:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:06:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:07:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:08:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:09:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:10:30,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:11:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:12:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:13:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:14:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:15:24,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:16:24,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:17:23,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:18:23,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:19:23,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:20:29,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:21:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:22:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:23:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:24:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:25:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:26:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:27:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:28:24,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:29:23,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:30:30,36,5,25.09164,121.51706
500104036,1,2024-07-22 22:31:23,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:32:24,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:33:23,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:34:23,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:35:24,36,6,25.09164,121.51706
500104036,1,2024-07-22 22:36:26,36,7,25.09164,121.51706
500104036,1,2024-07-22 22:37:23,36,7,25.09164,121.51706
500104036,1,2024-07-22 22:38:23,36,7,25.09164,121.51706
500104036,1,2024-07-22 22:39:23,36,7,25.09164,121.51706
500104036,1,2024-07-22 22:40:29,36,7,25.09164,121.51706
