sno,act,srcUpdateTime,total,latitude,longitude,available_return_bikes
500111014,1,2024-07-22 21:41:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 21:41:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 21:42:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 21:43:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 21:44:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:45:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:46:24,40,25.04697,121.61375,7
500111014,1,2024-07-22 21:47:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:48:24,40,25.04697,121.61375,7
500111014,1,2024-07-22 21:49:24,40,25.04697,121.61375,7
500111014,1,2024-07-22 21:50:31,40,25.04697,121.61375,7
500111014,1,2024-07-22 21:51:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:52:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:53:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:54:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:55:23,40,25.04697,121.61375,6
500111014,1,2024-07-22 21:56:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 21:57:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 21:58:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 21:59:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:00:31,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:01:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:02:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:03:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:04:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:05:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:06:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:07:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:08:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:09:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:10:30,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:11:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:12:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:13:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:14:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:15:24,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:16:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:17:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:18:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:19:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:20:29,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:21:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:22:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:23:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:24:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:25:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:26:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:27:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:28:24,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:29:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:30:30,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:31:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 22:32:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:33:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:34:23,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:35:24,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:36:26,40,25.04697,121.61375,5
500111014,1,2024-07-22 22:37:23,40,25.04697,121.61375,6
500111014,1,2024-07-22 22:38:23,40,25.04697,121.61375,7
